"","Year","Month","Class","Quantity"
"1",2011,1,"COMPACT_CARS",102204
"7",2011,2,"COMPACT_CARS",111342
"13",2011,3,"COMPACT_CARS",163380
"19",2011,4,"COMPACT_CARS",129922
"25",2011,5,"COMPACT_CARS",148946
"31",2011,6,"COMPACT_CARS",142952
"37",2011,7,"COMPACT_CARS",135028
"42",2011,8,"COMPACT_CARS",127426
"47",2011,9,"COMPACT_CARS",151848
"52",2011,10,"COMPACT_CARS",137718
"57",2011,11,"COMPACT_CARS",142036
"62",2011,12,"COMPACT_CARS",117664
"2",2012,1,"COMPACT_CARS",103312
"8",2012,2,"COMPACT_CARS",109590
"14",2012,3,"COMPACT_CARS",166356
"20",2012,4,"COMPACT_CARS",133522
"26",2012,5,"COMPACT_CARS",134374
"32",2012,6,"COMPACT_CARS",136048
"38",2012,7,"COMPACT_CARS",109170
"43",2012,8,"COMPACT_CARS",103478
"48",2012,9,"COMPACT_CARS",123478
"53",2012,10,"COMPACT_CARS",127912
"58",2012,11,"COMPACT_CARS",125224
"63",2012,12,"COMPACT_CARS",97076
"3",2013,1,"COMPACT_CARS",93030
"9",2013,2,"COMPACT_CARS",103212
"15",2013,3,"COMPACT_CARS",144810
"21",2013,4,"COMPACT_CARS",144318
"27",2013,5,"COMPACT_CARS",127104
"33",2013,6,"COMPACT_CARS",140636
"39",2013,7,"COMPACT_CARS",123092
"44",2013,8,"COMPACT_CARS",110076
"49",2013,9,"COMPACT_CARS",127086
"54",2013,10,"COMPACT_CARS",143014
"59",2013,11,"COMPACT_CARS",134386
"64",2013,12,"COMPACT_CARS",118486
"4",2014,1,"COMPACT_CARS",106184
"10",2014,2,"COMPACT_CARS",102016
"16",2014,3,"COMPACT_CARS",146920
"22",2014,4,"COMPACT_CARS",140574
"28",2014,5,"COMPACT_CARS",143712
"34",2014,6,"COMPACT_CARS",149030
"40",2014,7,"COMPACT_CARS",142110
"45",2014,8,"COMPACT_CARS",117592
"50",2014,9,"COMPACT_CARS",153082
"55",2014,10,"COMPACT_CARS",151322
"60",2014,11,"COMPACT_CARS",128300
"65",2014,12,"COMPACT_CARS",122040
"5",2015,1,"COMPACT_CARS",112260
"11",2015,2,"COMPACT_CARS",117566
"17",2015,3,"COMPACT_CARS",166618
"23",2015,4,"COMPACT_CARS",153746
"29",2015,5,"COMPACT_CARS",134014
"35",2015,6,"COMPACT_CARS",159030
"41",2015,7,"COMPACT_CARS",156450
"46",2015,8,"COMPACT_CARS",127042
"51",2015,9,"COMPACT_CARS",156400
"56",2015,10,"COMPACT_CARS",147590
"61",2015,11,"COMPACT_CARS",142178
"66",2015,12,"COMPACT_CARS",123322
"6",2016,1,"COMPACT_CARS",108024
"12",2016,2,"COMPACT_CARS",125980
"18",2016,3,"COMPACT_CARS",175804
"24",2016,4,"COMPACT_CARS",162258
"30",2016,5,"COMPACT_CARS",147524
"36",2016,6,"COMPACT_CARS",177480
"67",2011,1,"EXECUTIVE_CARS",22000
"73",2011,2,"EXECUTIVE_CARS",22714
"79",2011,3,"EXECUTIVE_CARS",30010
"85",2011,4,"EXECUTIVE_CARS",25664
"91",2011,5,"EXECUTIVE_CARS",30422
"97",2011,6,"EXECUTIVE_CARS",29934
"103",2011,7,"EXECUTIVE_CARS",29616
"108",2011,8,"EXECUTIVE_CARS",26216
"113",2011,9,"EXECUTIVE_CARS",27282
"118",2011,10,"EXECUTIVE_CARS",26872
"123",2011,11,"EXECUTIVE_CARS",29360
"128",2011,12,"EXECUTIVE_CARS",27394
"68",2012,1,"EXECUTIVE_CARS",22440
"74",2012,2,"EXECUTIVE_CARS",22170
"80",2012,3,"EXECUTIVE_CARS",30692
"86",2012,4,"EXECUTIVE_CARS",26550
