"","Model","Quantity","Year","Month","Class"
"2","CHEVROLET MATIZ",19,2011,1,"MINIS"
"3","CHEVROLET SPARK",738,2011,1,"MINIS"
"4","CITROEN C1",678,2011,1,"MINIS"
"5","DAIHATSU CUORE",36,2011,1,"MINIS"
"6","FIAT PANDA",976,2011,1,"MINIS"
"7","FIAT 500",1079,2011,1,"MINIS"
"8","FORD KA",747,2011,1,"MINIS"
"9","HYUNDAI I 10",822,2011,1,"MINIS"
"10","LANCIA YPSILON",10,2011,1,"MINIS"
"11","MITSUBISHI I-MIEV",65,2011,1,"MINIS"
"12","NISSAN PIXO",215,2011,1,"MINIS"
"13","OPEL AGILA",202,2011,1,"MINIS"
"14","PEUGEOT 107",399,2011,1,"MINIS"
"15","RENAULT TWINGO",1701,2011,1,"MINIS"
"16","SMART FORTWO",2320,2011,1,"MINIS"
"17","SUZUKI ALTO",305,2011,1,"MINIS"
"18","SUZUKI SPLASH",177,2011,1,"MINIS"
"19","TOYOTA AYGO",674,2011,1,"MINIS"
"20","TOYOTA IQ",201,2011,1,"MINIS"
"21","VW FOX",916,2011,1,"MINIS"
"22","OTHER_MODEL",0,2011,1,"MINIS"
"23","ZUSAMMEN",12280,2011,1,"MINIS"
"25","ALFA MITO",198,2011,1,"SMALL_CARS"
"26","AUDI A1, S1",2075,2011,1,"SMALL_CARS"
"27","BMW MINI",2170,2011,1,"SMALL_CARS"
"28","CHEVROLET KALOS, AVEO",96,2011,1,"SMALL_CARS"
"29","CITROEN C2",13,2011,1,"SMALL_CARS"
"30","CITROEN C3",1088,2011,1,"SMALL_CARS"
"31","CITROEN DS3",673,2011,1,"SMALL_CARS"
"32","DAIHATSU MATERIA",21,2011,1,"SMALL_CARS"
"33","DAIHATSU SIRION",67,2011,1,"SMALL_CARS"
"34","FIAT PUNTO",1334,2011,1,"SMALL_CARS"
"35","FORD FIESTA",3074,2011,1,"SMALL_CARS"
"36","FORD FUSION",447,2011,1,"SMALL_CARS"
"37","HONDA INSIGHT",19,2011,1,"SMALL_CARS"
"38","HONDA JAZZ",511,2011,1,"SMALL_CARS"
"39","HYUNDAI GETZ",10,2011,1,"SMALL_CARS"
"40","HYUNDAI I 20",573,2011,1,"SMALL_CARS"
"41","KIA PICANTO",271,2011,1,"SMALL_CARS"
"42","KIA VENGA",296,2011,1,"SMALL_CARS"
"43","MAZDA 2",620,2011,1,"SMALL_CARS"
"44","MITSUBISHI COLT",584,2011,1,"SMALL_CARS"
"45","NISSAN JUKE",870,2011,1,"SMALL_CARS"
"46","NISSAN MICRA",392,2011,1,"SMALL_CARS"
"47","OPEL CORSA",3763,2011,1,"SMALL_CARS"
"48","PEUGEOT 206",934,2011,1,"SMALL_CARS"
"49","PEUGEOT 207",1287,2011,1,"SMALL_CARS"
"50","RENAULT CLIO",1827,2011,1,"SMALL_CARS"
"51","RENAULT WIND",131,2011,1,"SMALL_CARS"
"52","SEAT IBIZA, CORDOBA",2024,2011,1,"SMALL_CARS"
"53","SKODA FABIA",2602,2011,1,"SMALL_CARS"
"54","SUBARU JUSTY",145,2011,1,"SMALL_CARS"
"55","SUZUKI SWIFT",459,2011,1,"SMALL_CARS"
"56","SUZUKI SX4",568,2011,1,"SMALL_CARS"
"57","TOYOTA YARIS",1301,2011,1,"SMALL_CARS"
"58","VW POLO",7413,2011,1,"SMALL_CARS"
"59","OTHER_MODEL",4,2011,1,"SMALL_CARS"
"60","ZUSAMMEN",37860,2011,1,"SMALL_CARS"
"62","ALFA GIULIETTA",420,2011,1,"COMPACT_CARS"
"63","AUDI A3, S3, RS3",1923,2011,1,"COMPACT_CARS"
"64","BMW 1ER",3262,2011,1,"COMPACT_CARS"
"65","CHEVROLET CRUZE",146,2011,1,"COMPACT_CARS"
"66","CHEVROLET NUBIRA",46,2011,1,"COMPACT_CARS"
"67","CITROEN C4",1799,2011,1,"COMPACT_CARS"
"68","DACIA LOGAN",435,2011,1,"COMPACT_CARS"
"69","DACIA SANDERO",955,2011,1,"COMPACT_CARS"
"70","DODGE CALIBER",18,2011,1,"COMPACT_CARS"
"71","FIAT BRAVO, BRAVA",200,2011,1,"COMPACT_CARS"
"72","FORD FOCUS",3603,2011,1,"COMPACT_CARS"
"73","HONDA CIVIC",259,2011,1,"COMPACT_CARS"
"74","HYUNDAI I 30",2156,2011,1,"COMPACT_CARS"
"75","KIA CEED",322,2011,1,"COMPACT_CARS"
"76","KIA RIO",42,2011,1,"COMPACT_CARS"
"77","LADA 1118",35,2011,1,"COMPACT_CARS"
"78","LADA 2170",18,2011,1,"COMPACT_CARS"
"79","LANCIA DELTA",51,2011,1,"COMPACT_CARS"
"80","MAZDA MX-5",105,2011,1,"COMPACT_CARS"
"81","MAZDA 3",1008,2011,1,"COMPACT_CARS"
"82","MERCEDES A-KLASSE",2172,2011,1,"COMPACT_CARS"
"83","MITSUBISHI LANCER",329,2011,1,"COMPACT_CARS"
"84","NISSAN TIIDA",69,2011,1,"COMPACT_CARS"
"85","OPEL ASTRA",5724,2011,1,"COMPACT_CARS"
"86","PEUGEOT 308",1229,2011,1,"COMPACT_CARS"
"87","RENAULT FLUENCE",79,2011,1,"COMPACT_CARS"
"88","RENAULT MEGANE",2180,2011,1,"COMPACT_CARS"
"89","SKODA OCTAVIA",2774,2011,1,"COMPACT_CARS"
"90","SUBARU IMPREZA",106,2011,1,"COMPACT_CARS"
"91","TOYOTA AURIS",1098,2011,1,"COMPACT_CARS"
"92","TOYOTA PRIUS",164,2011,1,"COMPACT_CARS"
"93","TOYOTA VERSO",480,2011,1,"COMPACT_CARS"
"94","VOLVO C30",110,2011,1,"COMPACT_CARS"
"95","VW EOS",793,2011,1,"COMPACT_CARS"
"96","VW GOLF, JETTA",16940,2011,1,"COMPACT_CARS"
"97","VW NEW BEETLE",45,2011,1,"COMPACT_CARS"
"98","OTHER_MODEL",7,2011,1,"COMPACT_CARS"
"99","ZUSAMMEN",51102,2011,1,"COMPACT_CARS"
"101","ALFA 159, BRERA, GTV, SPIDER",206,2011,1,"MIDSIZE_CARS"
"102","ALPINA D3",6,2011,1,"MIDSIZE_CARS"
"103","AUDI A4, S4",3690,2011,1,"MIDSIZE_CARS"
"104","AUDI A5, S5, RS5",1390,2011,1,"MIDSIZE_CARS"
"105","BMW 3ER",2451,2011,1,"MIDSIZE_CARS"
"106","CITROEN C5",633,2011,1,"MIDSIZE_CARS"
"107","FIAT CROMA",16,2011,1,"MIDSIZE_CARS"
"108","FORD MONDEO",1632,2011,1,"MIDSIZE_CARS"
"109","HONDA ACCORD",217,2011,1,"MIDSIZE_CARS"
"110","HYUNDAI COUPE",25,2011,1,"MIDSIZE_CARS"
"111","HYUNDAI SONATA",19,2011,1,"MIDSIZE_CARS"
"112","KIA MAGENTIS",10,2011,1,"MIDSIZE_CARS"
"113","LEXUS IS",27,2011,1,"MIDSIZE_CARS"
"114","MAZDA 6",885,2011,1,"MIDSIZE_CARS"
"115","MERCEDES C-KLASSE",3886,2011,1,"MIDSIZE_CARS"
"116","OPEL INSIGNIA",1433,2011,1,"MIDSIZE_CARS"
"117","PEUGEOT 407",211,2011,1,"MIDSIZE_CARS"
"118","PEUGEOT 508",86,2011,1,"MIDSIZE_CARS"
"119","RENAULT LAGUNA",228,2011,1,"MIDSIZE_CARS"
"120","SAAB 9-3",42,2011,1,"MIDSIZE_CARS"
"121","SEAT EXEO",423,2011,1,"MIDSIZE_CARS"
"122","SKODA SUPERB",1233,2011,1,"MIDSIZE_CARS"
"123","SUBARU LEGACY",72,2011,1,"MIDSIZE_CARS"
"124","SUZUKI KIZASHI",75,2011,1,"MIDSIZE_CARS"
"125","TOYOTA AVENSIS, CARINA",736,2011,1,"MIDSIZE_CARS"
"126","VOLVO V50",290,2011,1,"MIDSIZE_CARS"
"127","VOLVO 40",8,2011,1,"MIDSIZE_CARS"
"128","VOLVO 60",695,2011,1,"MIDSIZE_CARS"
"129","VW PASSAT",8888,2011,1,"MIDSIZE_CARS"
"130","VW SCIROCCO",536,2011,1,"MIDSIZE_CARS"
"131","OTHER_MODEL",10,2011,1,"MIDSIZE_CARS"
"132","ZUSAMMEN",30059,2011,1,"MIDSIZE_CARS"
"134","ALPINA B3",7,2011,1,"EXECUTIVE_CARS"
"135","ALPINA B5",11,2011,1,"EXECUTIVE_CARS"
"136","AUDI A6, S6, RS6, A7",2364,2011,1,"EXECUTIVE_CARS"
"137","BMW 5ER",5278,2011,1,"EXECUTIVE_CARS"
"138","CHRYSLER 300C",22,2011,1,"EXECUTIVE_CARS"
"139","CITROEN C6",13,2011,1,"EXECUTIVE_CARS"
"140","JAGUAR XF",102,2011,1,"EXECUTIVE_CARS"
"141","MERCEDES E-KLASSE",2825,2011,1,"EXECUTIVE_CARS"
"142","RENAULT LATITUDE",27,2011,1,"EXECUTIVE_CARS"
"143","SAAB 9-5",36,2011,1,"EXECUTIVE_CARS"
"144","VOLVO 70",297,2011,1,"EXECUTIVE_CARS"
"145","VOLVO 80",13,2011,1,"EXECUTIVE_CARS"
"146","OTHER_MODEL",5,2011,1,"EXECUTIVE_CARS"
"147","ZUSAMMEN",11000,2011,1,"EXECUTIVE_CARS"
"149","ALPINA B7 BITURBO",1,2011,1,"LUXURY_VEHICLES"
"150","AUDI A8, S8",496,2011,1,"LUXURY_VEHICLES"
"151","BENTLEY CONTINENTAL",17,2011,1,"LUXURY_VEHICLES"
"152","BENTLEY MULSANNE",5,2011,1,"LUXURY_VEHICLES"
"153","BMW 6ER",73,2011,1,"LUXURY_VEHICLES"
"154","BMW 7ER",703,2011,1,"LUXURY_VEHICLES"
"155","GM CADILLAC CTS",4,2011,1,"LUXURY_VEHICLES"
"156","JAGUAR XJ",46,2011,1,"LUXURY_VEHICLES"
"157","MASERATI QUATTROPORTE",9,2011,1,"LUXURY_VEHICLES"
"158","MAYBACH",1,2011,1,"LUXURY_VEHICLES"
"159","MERCEDES CL-KLASSE",46,2011,1,"LUXURY_VEHICLES"
"160","MERCEDES CLS",445,2011,1,"LUXURY_VEHICLES"
"161","MERCEDES S-KLASSE",189,2011,1,"LUXURY_VEHICLES"
"162","PORSCHE PANAMERA",147,2011,1,"LUXURY_VEHICLES"
"163","ROLLS ROYCE GHOST",2,2011,1,"LUXURY_VEHICLES"
"164","VW PHAETON",143,2011,1,"LUXURY_VEHICLES"
"165","OTHER_MODEL",0,2011,1,"LUXURY_VEHICLES"
"166","ZUSAMMEN",2327,2011,1,"LUXURY_VEHICLES"
"168","AUDI Q5",1813,2011,1,"OFFROAD_VEHICLE"
"169","AUDI Q7",272,2011,1,"OFFROAD_VEHICLE"
"170","BMW X1",2318,2011,1,"OFFROAD_VEHICLE"
"171","BMW X3",959,2011,1,"OFFROAD_VEHICLE"
"172","BMW X5",532,2011,1,"OFFROAD_VEHICLE"
"173","BMW X6",304,2011,1,"OFFROAD_VEHICLE"
"174","CHEVROLET CAPTIVA",72,2011,1,"OFFROAD_VEHICLE"
"175","CITROEN C-CROSSER",66,2011,1,"OFFROAD_VEHICLE"
"176","DACIA DUSTER",2024,2011,1,"OFFROAD_VEHICLE"
"177","DAIHATSU TERIOS",62,2011,1,"OFFROAD_VEHICLE"
"178","DODGE NITRO",8,2011,1,"OFFROAD_VEHICLE"
"179","FIAT SEDICI",199,2011,1,"OFFROAD_VEHICLE"
"180","FORD KUGA",1050,2011,1,"OFFROAD_VEHICLE"
"181","GM CADILLAC ESCALADE",8,2011,1,"OFFROAD_VEHICLE"
"182","HONDA CR-V",366,2011,1,"OFFROAD_VEHICLE"
"183","HYUNDAI IX 35",737,2011,1,"OFFROAD_VEHICLE"
"184","HYUNDAI IX 55",31,2011,1,"OFFROAD_VEHICLE"
"185","HYUNDAI SANTA FE",99,2011,1,"OFFROAD_VEHICLE"
"186","INFINITI EX37",7,2011,1,"OFFROAD_VEHICLE"
"187","INFINITI FX",27,2011,1,"OFFROAD_VEHICLE"
"188","JEEP CHEROKEE",23,2011,1,"OFFROAD_VEHICLE"
"189","JEEP GRAND CHEROKEE",47,2011,1,"OFFROAD_VEHICLE"
"190","JEEP PATRIOT",62,2011,1,"OFFROAD_VEHICLE"
"191","JEEP WRANGLER",78,2011,1,"OFFROAD_VEHICLE"
"192","KIA SORENTO",182,2011,1,"OFFROAD_VEHICLE"
"193","KIA SPORTAGE",511,2011,1,"OFFROAD_VEHICLE"
"194","LADA NIVA",185,2011,1,"OFFROAD_VEHICLE"
"195","LAND ROVER DEFENDER",12,2011,1,"OFFROAD_VEHICLE"
"196","LAND ROVER DISCOVERY",132,2011,1,"OFFROAD_VEHICLE"
"197","LAND ROVER FREELANDER",97,2011,1,"OFFROAD_VEHICLE"
"198","LAND ROVER RANGE ROVER",119,2011,1,"OFFROAD_VEHICLE"
"199","LAND ROVER RANGE ROVER SPORT",168,2011,1,"OFFROAD_VEHICLE"
"200","LEXUS RX",57,2011,1,"OFFROAD_VEHICLE"
"201","MAZDA CX-7",217,2011,1,"OFFROAD_VEHICLE"
"202","MAZDA CX-9",28,2011,1,"OFFROAD_VEHICLE"
"203","MERCEDES G-KLASSE",137,2011,1,"OFFROAD_VEHICLE"
"204","MERCEDES GL-KLASSE",119,2011,1,"OFFROAD_VEHICLE"
"205","MERCEDES GLK",1353,2011,1,"OFFROAD_VEHICLE"
"206","MERCEDES ML-KLASSE",793,2011,1,"OFFROAD_VEHICLE"
"207","MERCEDES R-KLASSE",163,2011,1,"OFFROAD_VEHICLE"
"208","MITSUBISHI ASX",827,2011,1,"OFFROAD_VEHICLE"
"209","MITSUBISHI OUTLANDER",445,2011,1,"OFFROAD_VEHICLE"
"210","MITSUBISHI PAJERO, MONTERO",112,2011,1,"OFFROAD_VEHICLE"
"211","NISSAN MURANO",53,2011,1,"OFFROAD_VEHICLE"
"212","NISSAN PATHFINDER",80,2011,1,"OFFROAD_VEHICLE"
"213","NISSAN X-TRAIL",177,2011,1,"OFFROAD_VEHICLE"
"214","OPEL ANTARA",37,2011,1,"OFFROAD_VEHICLE"
"215","PEUGEOT 4007",39,2011,1,"OFFROAD_VEHICLE"
"216","PORSCHE CAYENNE",508,2011,1,"OFFROAD_VEHICLE"
"217","RENAULT KOLEOS",165,2011,1,"OFFROAD_VEHICLE"
"218","SKODA YETI",1084,2011,1,"OFFROAD_VEHICLE"
"219","SUBARU FORESTER",269,2011,1,"OFFROAD_VEHICLE"
"220","SUZUKI GRAND VITARA",409,2011,1,"OFFROAD_VEHICLE"
"221","SUZUKI JIMNY",414,2011,1,"OFFROAD_VEHICLE"
"222","TOYOTA LANDCRUISER",247,2011,1,"OFFROAD_VEHICLE"
"223","TOYOTA RAV 4",706,2011,1,"OFFROAD_VEHICLE"
"224","VOLVO XC60",996,2011,1,"OFFROAD_VEHICLE"
"225","VOLVO XC70",95,2011,1,"OFFROAD_VEHICLE"
"226","VOLVO XC90",185,2011,1,"OFFROAD_VEHICLE"
"227","VW TIGUAN",3671,2011,1,"OFFROAD_VEHICLE"
"228","VW TOUAREG",507,2011,1,"OFFROAD_VEHICLE"
"229","OTHER_MODEL",10,2011,1,"OFFROAD_VEHICLE"
"230","ZUSAMMEN",26473,2011,1,"OFFROAD_VEHICLE"
"232","ASTON MARTIN DBS",11,2011,1,"SPORTS_CARS"
"233","ASTON MARTIN DB9",7,2011,1,"SPORTS_CARS"
"234","ASTON MARTIN RAPIDE",3,2011,1,"SPORTS_CARS"
"235","ASTON MARTIN V8",7,2011,1,"SPORTS_CARS"
"236","ASTON MARTIN V12",3,2011,1,"SPORTS_CARS"
"237","AUDI R8",31,2011,1,"SPORTS_CARS"
"238","AUDI TT",229,2011,1,"SPORTS_CARS"
"239","BMW Z4",171,2011,1,"SPORTS_CARS"
"240","DODGE VIPER",1,2011,1,"SPORTS_CARS"
"241","FERRARI CALIFORNIA",10,2011,1,"SPORTS_CARS"
"242","FERRARI F 430",4,2011,1,"SPORTS_CARS"
"243","FERRARI 458",31,2011,1,"SPORTS_CARS"
"244","FERRARI 599 GTB",1,2011,1,"SPORTS_CARS"
"245","FERRARI 599 GTO",2,2011,1,"SPORTS_CARS"
"246","GM CADILLAC XLR ROADSTER",1,2011,1,"SPORTS_CARS"
"247","GM CORVETTE",87,2011,1,"SPORTS_CARS"
"248","HONDA CR-Z",23,2011,1,"SPORTS_CARS"
"249","JAGUAR XK",24,2011,1,"SPORTS_CARS"
"250","LAMBORGHINI GALLARDO",1,2011,1,"SPORTS_CARS"
"251","LOTUS ELISE",2,2011,1,"SPORTS_CARS"
"252","LOTUS EVORA",1,2011,1,"SPORTS_CARS"
"253","LOTUS EXIGE",1,2011,1,"SPORTS_CARS"
"254","MASERATI GRANTURISMO",16,2011,1,"SPORTS_CARS"
"255","MERCEDES E-KLASSE COUPE",856,2011,1,"SPORTS_CARS"
"256","MERCEDES SL",58,2011,1,"SPORTS_CARS"
"257","MERCEDES SLK",130,2011,1,"SPORTS_CARS"
"258","MERCEDES SLS AMG",106,2011,1,"SPORTS_CARS"
"259","MORGAN 4/4",2,2011,1,"SPORTS_CARS"
"260","NISSAN GT-R",6,2011,1,"SPORTS_CARS"
"261","NISSAN 370Z",13,2011,1,"SPORTS_CARS"
"262","OPEL GT",2,2011,1,"SPORTS_CARS"
"263","PEUGEOT RCZ",128,2011,1,"SPORTS_CARS"
"264","PORSCHE BOXSTER, CAYMAN",137,2011,1,"SPORTS_CARS"
"265","PORSCHE 911",412,2011,1,"SPORTS_CARS"
"266","WIESMANN GT",1,2011,1,"SPORTS_CARS"
"267","WIESMANN ROADSTER",3,2011,1,"SPORTS_CARS"
"268","OTHER_MODEL",0,2011,1,"SPORTS_CARS"
"269","ZUSAMMEN",2521,2011,1,"SPORTS_CARS"
"271","CHEVROLET REZZO",12,2011,1,"MINI_VANS"
"272","FORD FOCUS C-MAX",1857,2011,1,"MINI_VANS"
"273","HYUNDAI IX 20",357,2011,1,"MINI_VANS"
"274","KIA SOUL",86,2011,1,"MINI_VANS"
"275","LANCIA MUSA",16,2011,1,"MINI_VANS"
"276","MERCEDES B-KLASSE",2216,2011,1,"MINI_VANS"
"277","NISSAN CUBE",12,2011,1,"MINI_VANS"
"278","NISSAN NOTE",516,2011,1,"MINI_VANS"
"279","NISSAN QASHQAI",2452,2011,1,"MINI_VANS"
"280","OPEL MERIVA",2691,2011,1,"MINI_VANS"
"281","PEUGEOT 3008",359,2011,1,"MINI_VANS"
"282","RENAULT MODUS",253,2011,1,"MINI_VANS"
"283","RENAULT SCENIC",1234,2011,1,"MINI_VANS"
"284","SEAT ALTEA, TOLEDO, LEON",1335,2011,1,"MINI_VANS"
"285","SKODA ROOMSTER",654,2011,1,"MINI_VANS"
"286","TOYOTA URBAN CRUISER",28,2011,1,"MINI_VANS"
"287","OTHER_MODEL",5,2011,1,"MINI_VANS"
"288","ZUSAMMEN",14083,2011,1,"MINI_VANS"
"290","CHEVROLET ORLANDO",47,2011,1,"LARGE_VANS"
"291","CHRYSLER VOYAGER",44,2011,1,"LARGE_VANS"
"292","CITROEN C8",60,2011,1,"LARGE_VANS"
"293","DODGE JOURNEY",25,2011,1,"LARGE_VANS"
"294","FIAT ULYSSE, SCUDO",72,2011,1,"LARGE_VANS"
"295","FORD GALAXY",688,2011,1,"LARGE_VANS"
"296","FORD S-MAX",1251,2011,1,"LARGE_VANS"
"297","KIA CARENS",25,2011,1,"LARGE_VANS"
"298","MAZDA 5",1266,2011,1,"LARGE_VANS"
"299","MERCEDES VIANO",738,2011,1,"LARGE_VANS"
"300","OPEL ZAFIRA",747,2011,1,"LARGE_VANS"
"301","PEUGEOT 807",37,2011,1,"LARGE_VANS"
"302","PEUGEOT 5008",313,2011,1,"LARGE_VANS"
"303","RENAULT ESPACE",180,2011,1,"LARGE_VANS"
"304","SEAT ALHAMBRA",458,2011,1,"LARGE_VANS"
"305","VW SHARAN",2400,2011,1,"LARGE_VANS"
"306","VW TOURAN",4611,2011,1,"LARGE_VANS"
"307","OTHER_MODEL",1,2011,1,"LARGE_VANS"
"308","ZUSAMMEN",12963,2011,1,"LARGE_VANS"
"310","CITROEN BERLINGO",1002,2011,1,"UTILITIES"
"311","CITROEN JUMPER",23,2011,1,"UTILITIES"
"312","CITROEN JUMPY",93,2011,1,"UTILITIES"
"313","CITROEN NEMO",51,2011,1,"UTILITIES"
