"","Model","Quantity","Year","Month"
"1","MINIS",NA,"2011","01"
"2",NA,NA,"2011","01"
"3","CHEVROLET MATIZ","19","2011","01"
"4","CHEVROLET SPARK","738","2011","01"
"5","CITROEN C1","678","2011","01"
"6","DAIHATSU CUORE","36","2011","01"
"7","FIAT PANDA","976","2011","01"
"8","FIAT 500","1079","2011","01"
"9","FORD KA","747","2011","01"
"10","HYUNDAI I 10","822","2011","01"
"11","LANCIA YPSILON","10","2011","01"
"12","MITSUBISHI I-MIEV","65","2011","01"
"13","NISSAN PIXO","215","2011","01"
"14","OPEL AGILA","202","2011","01"
"15","PEUGEOT 107","399","2011","01"
"16","RENAULT TWINGO","1701","2011","01"
"17","SMART FORTWO","2320","2011","01"
"18","SUZUKI ALTO","305","2011","01"
"19","SUZUKI SPLASH","177","2011","01"
"20","TOYOTA AYGO","674","2011","01"
"21","TOYOTA IQ","201","2011","01"
"22","VW FOX","916","2011","01"
"23","SONSTIGE","-","2011","01"
"24",NA,NA,"2011","01"
"25","ZUSAMMEN","12280","2011","01"
"26",NA,NA,"2011","01"
"27",NA,NA,"2011","01"
"28","SMALL_CARS",NA,"2011","01"
"29",NA,NA,"2011","01"
"30","ALFA MITO","198","2011","01"
"31","AUDI A1, S1","2075","2011","01"
"32","BMW MINI","2170","2011","01"
"33","CHEVROLET KALOS, AVEO","96","2011","01"
"34","CITROEN C2","13","2011","01"
"35","CITROEN C3","1088","2011","01"
"36","CITROEN DS3","673","2011","01"
"37","DAIHATSU MATERIA","21","2011","01"
"38","DAIHATSU SIRION","67","2011","01"
"39","FIAT PUNTO","1334","2011","01"
"40","FORD FIESTA","3074","2011","01"
"41","FORD FUSION","447","2011","01"
"42","HONDA INSIGHT","19","2011","01"
"43","HONDA JAZZ","511","2011","01"
"44","HYUNDAI GETZ","10","2011","01"
"45","HYUNDAI I 20","573","2011","01"
"46","KIA PICANTO","271","2011","01"
"47","KIA VENGA","296","2011","01"
"48","MAZDA 2","620","2011","01"
"49","MITSUBISHI COLT","584","2011","01"
"50","NISSAN JUKE","870","2011","01"
"51","NISSAN MICRA","392","2011","01"
"52","OPEL CORSA","3763","2011","01"
"53","PEUGEOT 206","934","2011","01"
"54","PEUGEOT 207","1287","2011","01"
"55","RENAULT CLIO","1827","2011","01"
"56","RENAULT WIND","131","2011","01"
"57","SEAT IBIZA, CORDOBA","2024","2011","01"
"58","SKODA FABIA","2602","2011","01"
"59","SUBARU JUSTY","145","2011","01"
"60","SUZUKI SWIFT","459","2011","01"
"61","SUZUKI SX4","568","2011","01"
"62","TOYOTA YARIS","1301","2011","01"
"63","VW POLO","7413","2011","01"
"64","SONSTIGE","4","2011","01"
"65",NA,NA,"2011","01"
"66","ZUSAMMEN","37860","2011","01"
"67",NA,NA,"2011","01"
"68",NA,NA,"2011","01"
"69","COMPACT_CARS",NA,"2011","01"
"70",NA,NA,"2011","01"
"71","ALFA GIULIETTA","420","2011","01"
"72","AUDI A3, S3, RS3","1923","2011","01"
"73","BMW 1ER","3262","2011","01"
"74","CHEVROLET CRUZE","146","2011","01"
"75","CHEVROLET NUBIRA","46","2011","01"
"76","CITROEN C4","1799","2011","01"
"77","DACIA LOGAN","435","2011","01"
"78","DACIA SANDERO","955","2011","01"
"79","DODGE CALIBER","18","2011","01"
"80","FIAT BRAVO, BRAVA","200","2011","01"
"81","FORD FOCUS","3603","2011","01"
"82","HONDA CIVIC","259","2011","01"
"83","HYUNDAI I 30","2156","2011","01"
"84","KIA CEED","322","2011","01"
"85","KIA RIO","42","2011","01"
"86","LADA 1118","35","2011","01"
"87","LADA 2170","18","2011","01"
"88","LANCIA DELTA","51","2011","01"
"89","MAZDA MX-5","105","2011","01"
"90","MAZDA 3","1008","2011","01"
"91","MERCEDES A-KLASSE","2172","2011","01"
"92","MITSUBISHI LANCER","329","2011","01"
"93","NISSAN TIIDA","69","2011","01"
"94","OPEL ASTRA","5724","2011","01"
"95","PEUGEOT 308","1229","2011","01"
"96","RENAULT FLUENCE","79","2011","01"
"97","RENAULT MEGANE","2180","2011","01"
"98","SKODA OCTAVIA","2774","2011","01"
"99","SUBARU IMPREZA","106","2011","01"
"100","TOYOTA AURIS","1098","2011","01"
"101","TOYOTA PRIUS","164","2011","01"
"102","TOYOTA VERSO","480","2011","01"
"103","VOLVO C30","110","2011","01"
"104","VW EOS","793","2011","01"
"105","VW GOLF, JETTA","16940","2011","01"
"106","VW NEW BEETLE","45","2011","01"
"107","SONSTIGE","7","2011","01"
"108",NA,NA,"2011","01"
"109","ZUSAMMEN","51102","2011","01"
"110",NA,NA,"2011","01"
"111",NA,NA,"2011","01"
"112","MIDSIZE_CARS",NA,"2011","01"
"113",NA,NA,"2011","01"
"114","ALFA 159, BRERA, GTV, SPIDER","206","2011","01"
"115","ALPINA D3","6","2011","01"
"116","AUDI A4, S4","3690","2011","01"
"117","AUDI A5, S5, RS5","1390","2011","01"
"118","BMW 3ER","2451","2011","01"
