"","country","year","Life.Exp","Adol.Fertility","Total.Pop","GDP.Capita","Educ.Exp","Health.Exp","GirlsBoys.Ratio","iso3c","region","income"
"1","Afghanistan",2010,58.9708292682927,99.6324,27962207,15936800636.2487,4.51116,9.19772273,0.6847,"AFG","South Asia","Low income"
"2","Afghanistan",2011,59.3279512195122,93.7132,28809167,17930239399.8149,4.08791,7.87199189,0.71758,"AFG","South Asia","Low income"
"3","Antigua and Barbuda",2009,75.1470243902439,53.001,86300,1206410370.37037,2.55447,4.86206202,0.95912,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"4","Albania",2002,75.1546097560976,19.235,3051010,4435078647.86039,3.04681,6.30011348,0.97824,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"5","Albania",2000,74.2715365853659,19.273,3089027,3632043907.78974,3.23823,6.2559844,0.98343,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"6","Albania",2003,75.5232926829268,19.108,3039616,5746945912.88569,3.11557,6.26700723,0.9932,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"7","Albania",2001,74.7325609756098,19.254,3060173,4060758804.1064,3.31589,6.00014389,0.9997,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"8","Albania",2004,75.8312195121951,18.981,3026939,7314865175.67485,3.10656,6.37953469,0.99806,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"9","Albania",2005,76.0816097560976,18.854,3011487,8158548716.52941,3.15439,6.11631076,0.99129,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"10","Albania",2006,76.2861219512195,18.727,2992547,8992642348.95796,3.10882,5.86129625,0.99544,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"11","Albania",2007,76.4702926829268,18.6,2970017,10701011896.7708,3.26868,6.10393525,0.9919,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"12","Armenia",2003,72.6095853658537,32.635,3036420,2807061008.69084,2.14504,5.56388068,1.03326,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"13","Armenia",2002,72.2016097560976,33.787,3047249,2376335048.39976,2.13504,5.40041921,1.01877,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"14","Armenia",2009,74.0958292682927,27.0578,2966108,8647936747.98704,3.84079,4.54532341,1.16099,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"15","Armenia",2008,73.945,27.5424,2975029,11662040713.8753,3.17273,3.79932298,1.11673,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"16","Armenia",2007,73.7646585365854,28.027,2988117,9206301700.39619,3.01894,4.30883082,1.10043,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"17","Armenia",2000,71.2765853658537,40.229,3076098,1911563665.39006,2.77273,6.25348348,0.99611,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"18","Armenia",2005,73.2873902439024,30.331,3014917,4900469515.07252,2.71203,5.25211644,1.07898,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"19","Armenia",2001,71.7558292682927,37.008,3060036,2118467913.37873,2.46944,5.94041648,1.01704,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"20","Armenia",2004,72.973756097561,31.483,3025982,3576615240.41616,2.48673,5.50118169,1.05472,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"21","Armenia",2006,73.5482682926829,29.179,3002161,6384451606.1421,2.71577,4.57775072,1.09537,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"22","Angola",2010,50.6541707317073,180.928,21219954,82470913120.7314,3.47644,3.39114609,0.81266,"AGO","Sub-Saharan Africa (all income levels)","Lower middle income"
"23","Argentina",2007,75.0090487804878,60.586,39969903,329317513142.711,3.89635,6.49458405,0.98527,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"24","Argentina",2004,74.5187804878049,63.2116,38728778,181873056796.968,3.15654,6.84056093,0.98839,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"25","Argentina",2006,74.8499024390244,61.4612,39558750,262666517346.674,3.65499,6.68187054,0.98417,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"26","Argentina",2005,74.6878048780488,62.3364,39145491,220813784300.124,3.47405,6.84561938,0.98637,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"27","Argentina",2000,73.7558048780488,66.8976,37057453,284203750000,4.58031,9.21275669,0.98284,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"28","Argentina",2008,75.1662682926829,61.264,40381860,403781994527.786,4.33782,6.66371839,0.99094,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"29","Argentina",2010,75.4849756097561,62.62,41222875,461640242696.171,4.60637,6.55015616,0.98189,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"30","Argentina",2003,74.3412682926829,64.0868,38309475,127586251760.673,3.53505,8.21606274,0.99319,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"31","Argentina",2002,74.1557804878049,64.962,37889443,97724513456.4782,4.01734,8.31392968,0.9876,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"32","Argentina",2009,75.3245609756098,61.942,40798641,376627876887.774,4.89,7.63475841,0.98552,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"33","Argentina",2011,75.6490487804878,63.298,41655616,557890203658.125,4.98632,5.89274265,0.98787,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"34","Argentina",2001,73.9603170731707,65.9298,37471535,268696750000,4.83374,9.37589012,0.9867,"ARG","Latin America & Caribbean (all income levels)","Upper middle income"
"35","Austria",2011,80.9829268292683,9.0772,8391643,429010675562.969,5.61861,10.93557307,0.99049,"AUT","Europe & Central Asia (all income levels)","High income: OECD"
"36","Austria",2000,78.1268292682927,13.9232,8011566,196421706283.398,5.59957,10.06456722,0.98957,"AUT","Europe & Central Asia (all income levels)","High income: OECD"
"37","Austria",2008,80.4317073170732,10.6138,8321496,427611527757.434,5.29698,10.60392998,0.98288,"AUT","Europe & Central Asia (all income levels)","High income: OECD"
"38","Austria",2003,78.6317073170732,12.902,8121423,260721478555.305,5.38187,10.48033992,0.99405,"AUT","Europe & Central Asia (all income levels)","High income: OECD"
"39","Austria",2010,80.5804878048781,9.5894,8363404,390235099337.748,5.7332,11.16524816,0.98647,"AUT","Europe & Central Asia (all income levels)","High income: OECD"
