"","country","year","Life.Exp","Adol.Fertility","Total.Pop","GDP.Capita","Educ.Exp","Health.Exp","GirlsBoys.Ratio","iso3c","region","income"
"61","Andorra",2011,NA,NA,82326,3427235708.64326,3.15889,6.70379149,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"62","Andorra",2009,NA,NA,85474,3649863492.52426,3.16387,6.75968963,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"63","Andorra",2004,NA,NA,78337,2916913449.18143,1.53254,5.70388241,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"64","Andorra",2010,NA,NA,84419,3346317328.52461,3.0658,7.99926652,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"65","Andorra",2001,NA,NA,67770,1484004617.40835,NA,5.78874692,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"66","Andorra",2008,NA,NA,85616,4001349339.57053,2.93457,6.5674086,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"67","Andorra",2006,NA,NA,83373,3536451645.56431,2.19399,5.31389324,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"68","Andorra",2000,NA,NA,65399,1401694155.6973,NA,5.78129974,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"69","Andorra",2003,NA,NA,74783,2373836214.46563,NA,5.74503291,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"70","Andorra",2007,NA,NA,84878,4010785102.05129,2.07405,6.33545578,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"71","Andorra",2005,NA,NA,81223,3248134606.77511,1.60025,5.22335314,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"72","Andorra",2002,NA,NA,71046,1717563532.6986,1.69684,5.97260274,NA,"AND","Europe & Central Asia (all income levels)","High income: nonOECD"
"73","United Arab Emirates",2011,76.8511951219512,28.0744,8734722,348526072157.931,NA,3.7038587,1.00511,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"74","United Arab Emirates",2001,74.7128780487805,25.9596,3217865,103311640571.818,NA,2.48427471,NA,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"75","United Arab Emirates",2010,76.675243902439,28.5238,8329453,286049336038.121,NA,3.92945183,1.03476,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"76","United Arab Emirates",2007,76.1111707317073,29.872,6010100,257916133424.098,NA,2.56564188,1.02973,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"77","United Arab Emirates",2005,75.6863902439025,28.1476,4481976,180617018379.85,NA,2.32021865,0.99369,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"78","United Arab Emirates",2004,75.4572682926829,27.2854,3975945,147824370319.946,NA,2.46216142,0.96934,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"79","United Arab Emirates",2002,74.9682682926829,25.561,3394060,109816201497.617,NA,2.71758304,NA,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"80","United Arab Emirates",2009,76.4947804878049,28.9732,7705423,253547358747.447,NA,4.04992386,1.03278,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"81","United Arab Emirates",2006,75.9045365853659,29.0098,5171255,222105922396.188,NA,2.32534364,1.03564,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"82","United Arab Emirates",2000,74.4515365853659,26.3582,3050128,104337372362.151,NA,2.37999034,NA,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"83","United Arab Emirates",2003,75.2172195121951,26.4232,3625798,124346358066.712,NA,2.64640737,0.97034,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"84","United Arab Emirates",2008,76.307756097561,29.4226,6900142,315474615738.598,NA,2.92853487,NA,"ARE","Middle East & North Africa (all income levels)","High income: nonOECD"
"85","Afghanistan",2009,58.6036829268293,105.5516,27207291,12486943505.7381,NA,9.41897064,0.66246,"AFG","South Asia","Low income"
"86","Afghanistan",2006,57.4325609756098,123.1616,25183615,7057598406.61553,NA,7.43397155,0.62744,"AFG","South Asia","Low income"
"87","Afghanistan",2007,57.8338292682927,117.39,25877544,9843842455.48323,NA,6.72831635,0.61799,"AFG","South Asia","Low income"
"88","Afghanistan",2008,58.2250243902439,111.4708,26528741,10190529882.4878,NA,8.32809334,0.6411,"AFG","South Asia","Low income"
"89","Afghanistan",2005,57.027243902439,128.9332,24399948,6275076016.47174,NA,8.06810435,0.58661,"AFG","South Asia","Low income"
"90","Afghanistan",2003,56.2352926829268,140.4764,22507368,4583648921.64112,NA,8.81605343,0.56422,"AFG","South Asia","Low income"
"91","Afghanistan",2001,55.4875365853659,150.0468,20531160,2461666314.78366,NA,NA,0,"AFG","South Asia","Low income"
"92","Afghanistan",2004,56.6263170731707,134.7048,23499850,5285461999.33739,NA,8.78670722,0.43479,"AFG","South Asia","Low income"
"93","Afghanistan",2010,58.9708292682927,99.6324,27962207,15936800636.2487,4.51116,9.19772273,0.6847,"AFG","South Asia","Low income"
"94","Afghanistan",2011,59.3279512195122,93.7132,28809167,17930239399.8149,4.08791,7.87199189,0.71758,"AFG","South Asia","Low income"
"95","Afghanistan",2000,55.1258780487805,153.8456,19701940,NA,NA,NA,0,"AFG","South Asia","Low income"
"96","Afghanistan",2002,55.8571951219512,146.248,21487079,4128818042.25508,NA,7.76307316,0.45814,"AFG","South Asia","Low income"
"97","Antigua and Barbuda",2002,73.8154390243902,62.781,80030,802529333.333333,3.44539,4.41378705,NA,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"98","Antigua and Barbuda",2001,73.6070975609756,63.9704,78972,773765185.185185,NA,4.48439049,NA,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"99","Antigua and Barbuda",2005,74.4254390243903,58.4082,82565,997374111.111111,NA,4.41010035,NA,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"100","Antigua and Barbuda",2007,74.8032195121951,55.493,84397,1289254333.33333,NA,4.26972324,0.97356,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"101","Antigua and Barbuda",2003,74.0217804878049,61.3234,80904,839996370.37037,NA,4.53434099,NA,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"102","Antigua and Barbuda",2011,75.4660243902439,50.509,88152,1129918370.37037,NA,5.64852918,0.91992,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"103","Antigua and Barbuda",2010,75.3087804878049,51.755,87233,1135539037.03704,NA,5.6285144,0.91561,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"104","Antigua and Barbuda",2009,75.1470243902439,53.001,86300,1206410370.37037,2.55447,4.86206202,0.95912,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"105","Antigua and Barbuda",2008,74.9791707317073,54.247,85350,1347349851.85185,NA,4.69201433,0.95776,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"106","Antigua and Barbuda",2004,74.2261463414634,59.8658,81718,898356148.148148,NA,4.20698542,NA,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"107","Antigua and Barbuda",2006,74.6181463414634,56.9506,83467,1135143592.59259,NA,4.34002161,NA,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"108","Antigua and Barbuda",2000,73.3972926829268,65.1598,77648,783837851.851852,NA,4.12504853,NA,"ATG","Latin America & Caribbean (all income levels)","Upper middle income"
"109","Albania",2002,75.1546097560976,19.235,3051010,4435078647.86039,3.04681,6.30011348,0.97824,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"110","Albania",2000,74.2715365853659,19.273,3089027,3632043907.78974,3.23823,6.2559844,0.98343,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"111","Albania",2003,75.5232926829268,19.108,3039616,5746945912.88569,3.11557,6.26700723,0.9932,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"112","Albania",2001,74.7325609756098,19.254,3060173,4060758804.1064,3.31589,6.00014389,0.9997,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"113","Albania",2010,77.0369512195122,19.9188,2913021,11926953258.916,NA,5.33503501,0.97462,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"114","Albania",2004,75.8312195121951,18.981,3026939,7314865175.67485,3.10656,6.37953469,0.99806,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"115","Albania",2005,76.0816097560976,18.854,3011487,8158548716.52941,3.15439,6.11631076,0.99129,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"116","Albania",2008,76.6520731707317,19.0396,2947314,12881352687.7773,NA,5.86941616,0.98299,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"117","Albania",2006,76.2861219512195,18.727,2992547,8992642348.95796,3.10882,5.86129625,0.99544,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"118","Albania",2011,77.2405853658537,20.3584,2904780,12890867538.5302,NA,5.71466526,0.97121,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"119","Albania",2007,76.4702926829268,18.6,2970017,10701011896.7708,3.26868,6.10393525,0.9919,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"120","Albania",2009,76.8403658536586,19.4792,2927519,12044212903.8168,NA,5.79133946,0.97404,"ALB","Europe & Central Asia (all income levels)","Upper middle income"
"121","Armenia",2003,72.6095853658537,32.635,3036420,2807061008.69084,2.14504,5.56388068,1.03326,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"122","Armenia",2002,72.2016097560976,33.787,3047249,2376335048.39976,2.13504,5.40041921,1.01877,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"123","Armenia",2009,74.0958292682927,27.0578,2966108,8647936747.98704,3.84079,4.54532341,1.16099,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"124","Armenia",2008,73.945,27.5424,2975029,11662040713.8753,3.17273,3.79932298,1.11673,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"125","Armenia",2007,73.7646585365854,28.027,2988117,9206301700.39619,3.01894,4.30883082,1.10043,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"126","Armenia",2010,74.2263414634146,26.5732,2963496,9260284937.79781,3.249,4.56226302,NA,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"127","Armenia",2011,74.3428292682927,26.0886,2967984,10142111334.4961,3.14385,3.71354097,NA,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"128","Armenia",2000,71.2765853658537,40.229,3076098,1911563665.39006,2.77273,6.25348348,0.99611,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"129","Armenia",2005,73.2873902439024,30.331,3014917,4900469515.07252,2.71203,5.25211644,1.07898,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"130","Armenia",2001,71.7558292682927,37.008,3060036,2118467913.37873,2.46944,5.94041648,1.01704,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"131","Armenia",2004,72.973756097561,31.483,3025982,3576615240.41616,2.48673,5.50118169,1.05472,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"132","Armenia",2006,73.5482682926829,29.179,3002161,6384451606.1421,2.71577,4.57775072,1.09537,"ARM","Europe & Central Asia (all income levels)","Lower middle income"
"133","Angola",2001,45.9731463414634,208.4248,15562791,8936063723.20121,NA,5.38455772,NA,"AGO","Sub-Saharan Africa (all income levels)","Lower middle income"
"134","Angola",2007,49.4357317073171,188.404,19183907,60448921272.2326,NA,3.38311163,NA,"AGO","Sub-Saharan Africa (all income levels)","Lower middle income"
"135","Angola",2008,49.8473902439024,185.912,19842251,84178032716.0971,NA,3.84493395,0.85811,"AGO","Sub-Saharan Africa (all income levels)","Lower middle income"
